प्रश्न,विकल्प A,विकल्प B,विकल्प C,विकल्प D,सही उत्तर,Level
"रिक्त स्थान की पूर्ति करें: ""शुद्धातम है मेरा नाम, मात्र ______ मेरा काम ।""",जानना,गाना,पाना,ध्याना,1,Easy
कविता के अनुसार शुद्धात्म का धाम कौन सा है?,देवपुरी,कर्मभूमि,मुक्तिपुरी,भोगभूमि,3,Easy
मुक्तिपुरी में क्या मिलता है?,आकुलता,कर्म बंधन,आधि-व्याधि,पूर्ण विश्राम,4,Easy
"रिक्त स्थान की पूर्ति करें: ""जहाँ भूख का नाम नहीं है, जहाँ ______ का काम नहीं है।""",प्यास,नींद,मोह,माया,1,Easy
कविता के अनुसार साधक क्या करके निज आतम का ध्यान धरेंगे?,परनिंदा करके,स्वपर-भेद विज्ञान करके,राग-द्वेष करके,विषय भोग करके,2,Medium
साधक किस रस का पान करने की बात करते हैं?,भक्ति रस,वैराग्य रस,सांसारिक रस,चिदानंद रस,4,Medium
"""सत् शिव सुंदर मेरा धाम"" - इस पंक्ति में 'धाम' किसे कहा गया है?",घर को,मंदिर को,शुद्धात्म स्वरूप को,नगर को,3,Hard
"रिक्त स्थान की पूर्ति करें: ""सब सुखदाता मेरा धाम, ______ है मेरा नाम||""",सिद्धातम,परमात्मा,भगवंत,शुद्धातम,4,Easy
सम्यग्दर्शन प्राप्त करने पर साधक किससे नहीं डरते?,मृत्यु से,लोक से,सप्त भयों से,परलोक से,3,Medium
"रिक्त स्थान की पूर्ति करें: ""जीवन-अजीव ______ करेंगे।""",मिलान,पहिचान,त्याग,ग्रहण,2,Easy
"""स्व-पर भेदविज्ञान करेंगे।"" - इस पंक्ति का क्या तात्पर्य है?",स्वयं और दूसरों में झगड़ा करना,अपनी आत्मा और पर-पदार्थों में भेद जानना,विज्ञान की शिक्षा लेना,सभी को एक समान मानना,2,Medium
साधक किसका सम्मान करने का संकल्प लेते हैं?,राजा का,धनिकों का,गुरुजनों का,परिवार का,3,Easy
"रिक्त स्थान की पूर्ति करें: ""जिनवाणी का श्रवण करेंगे। पठन करेंगे, ______ करेंगे।।""",लेखन,गायन,मनन,नर्तन,3,Medium
साधक रात्रि में क्या नहीं करने का नियम लेते हैं?,जागरण,ध्यान,भोजन,अध्ययन,3,Easy
जल का उपयोग करने के लिए क्या शर्त बताई गई है?,गर्म करके लेंगे,ठंडा करके लेंगे,बिना छना जल काम न लेंगे,मीठा जल ही लेंगे,3,Easy
"रिक्त स्थान की पूर्ति करें: ""निज स्वभाव को प्राप्त करेंगे। ______ भाव का नाश करेंगे।""",राग,द्वेष,क्रोध,मोह,4,Medium
"कविता की अंतिम पंक्ति के अनुसार, साधक भक्त नहीं, बल्कि क्या बनने की भावना भाते हैं?",ज्ञानी,भगवान,ध्यानी,तपस्वी,2,Hard
"कविता के अनुसार, मुक्तिपुरी में क्या नहीं है?",खाँसी और जुखाम,सुख और शांति,ज्ञान और दर्शन,समता और आनंद,1,Easy
"""निजानन्द का पान करेंगे।"" - यहाँ 'निजानन्द' से क्या तात्पर्य है?",इंद्रिय सुख,संसार का आनंद,अपनी आत्मा का आनंद,विजय का आनंद,3,Medium
इस कविता का मुख्य विषय क्या है?,जिनवाणी की स्तुति,गुरु की महिमा,शुद्धात्म स्वरूप का परिचय,संसार की असारता,3,Medium
"रिक्त स्थान की पूर्ति करें: ""वीतराग सर्वज्ञ हितंकर, भविजन की अब पूरो ______।""",आस,प्यास,भूख,इच्छा,1,Easy
प्रार्थना में किसके उदय की कामना की गई है ताकि मिथ्यात्व का विनाश हो?,सूर्य,चंद्र,ज्ञान भानु,दीपक,3,Medium
साधक किनके प्रति करुणा पालने की बात करते हैं?,सिर्फ मनुष्यों के,सिर्फ पशुओं के,सभी जीवों के,अपने मित्रों के,3,Easy
"रिक्त स्थान की पूर्ति करें: ""झूठ वचन नहिं कहें कदा। पर धन कबहुँ न ______ स्वामी।""",देखें,चाहें,हरहूँ (हरण करूँ),त्यागें,3,Medium
साधक कौन सा व्रत हमेशा रखने की प्रार्थना करते हैं?,अहिंसा व्रत,अचौर्य व्रत,सत्य व्रत,ब्रह्मचर्य व्रत,4,Medium
"रिक्त स्थान की पूर्ति करें: ""तृष्णा लोभ बढ़े न हमारा, तोष सुधा नित ______ करें।""",देखा,त्यागा,पिया,बांटा,3,Hard
साधक किस धर्म को प्यारा बताकर उसकी सेवा करने की बात करते हैं?,वैष्णव धर्म,शैव धर्म,श्री जिनधर्म,बौद्ध धर्म,3,Easy
कैसी रीतियों को दूर भगाने का संकल्प लिया गया है?,सुखद रीतियाँ,बुरी रीतियाँ,प्राचीन रीतियाँ,नवीन रीतियाँ,2,Easy
